"Profile.URL","rating","Username","Number.of.posts","Number.of.people.they.follow","Number.of.followers","has_profile_picture","Private.account"
"https://instagram.com/__saaraa._","False","__saaraa._",0,198,177,"True",True
"https://instagram.com/_alex.ti","False","_alex.ti",30,272,174,"True",True
"https://instagram.com/_eldoce","False","_eldoce",5,61,79,"True",True
"https://instagram.com/aashwarya","False","aashwarya",213,1430,1323,"True",True
"https://instagram.com/acelyacaar","False","acelyacaar",14,288,308,"True",True
"https://instagram.com/angelof83","False","angelof83",25,389,288,"True",True
"https://instagram.com/aniket111999","False","aniket111999",23,143,154,"True",True
"https://instagram.com/baqirhshah","False","baqirhshah",74,106,100,"True",True
"https://instagram.com/biancadellacastafiore","True","biancadellacastafiore",94,238,0,"True",True
"https://instagram.com/chloe_daviet","False","chloe_daviet",5,372,409,"True",True
"https://instagram.com/ernestovalverde6609","True","ernestovalverde6609",0,601,18,"False",True
"https://instagram.com/ex_utero","False","ex_utero",147,587,408,"True",True
"https://instagram.com/fashionista_claudia","False","fashionista_claudia",2515,1696,6952,"True",True
"https://instagram.com/gammagaby","False","gammagaby",3,33,17,"True",True
"https://instagram.com/grimopolis","False","grimopolis",0,1064,32,"False",True
"https://instagram.com/hripsime.sargayan","False","hripsime.sargayan",43,57,77,"True",True
"https://instagram.com/jaumelopez15","False","jaumelopez15",43,200,88,"True",True
"https://instagram.com/jessica_mkr","False","jessica_mkr",16,432,58,"True",True
"https://instagram.com/josefineclind","False","josefineclind",132,530,1261,"True",True
"https://instagram.com/lecaramel84","False","lecaramel84",202,5730,912,"True",True
"https://instagram.com/lenawgl","False","lenawgl",9,87,284,"True",True
"https://instagram.com/marcellesereia","False","marcellesereia",47,97,199,"True",True
"https://instagram.com/martahebu","False","martahebu",280,1578,174,"True",True
"https://instagram.com/marwanm7modd","False","marwanm7modd",40,180,363,"True",True
"https://instagram.com/maudsrd","False","maudsrd",62,218,122,"True",True
"https://instagram.com/meryamnuriyeva","False","meryamnuriyeva",60,616,209,"True",True
"https://instagram.com/nana_m.f","False","nana_m.f",5,221,0,"True",True
"https://instagram.com/narimanbarbiche","False","narimanbarbiche",0,184,310,"True",True
"https://instagram.com/nathanbouchere","False","nathanbouchere",5,32,22,"True",True
"https://instagram.com/nelahu","False","nelahu",42,168,109,"True",True
"https://instagram.com/ninathony","False","ninathony",16,68,44,"True",True
"https://instagram.com/penghuihong98","False","penghuihong98",1,209,33,"True",True
"https://instagram.com/pmamalea","False","pmamalea",6,69,55,"True",True
"https://instagram.com/rikedee","False","rikedee",0,224,585,"True",True
"https://instagram.com/rosa_fee","False","rosa_fee",61,256,234,"True",True
"https://instagram.com/sally_d_mousa","False","sally_d_mousa",11,297,93,"True",True
"https://instagram.com/sgrshma","False","sgrshma",11,1526,164,"True",True
"https://instagram.com/tyla.s.hancock","False","tyla.s.hancock",23,526,220,"True",True
"https://instagram.com/yaenu_lanz","False","yaenu_lanz",87,750,133,"True",True
"https://www.instagram.com/_cherryannh___","False","_cherryannh___",187,7461,1122,"True",False
"https://www.instagram.com/_fashion__girls__hub__","False","_fashion__girls__hub__",145,2665,516,"True",False
"https://www.instagram.com/_golden.kid_","False","_golden.kid_",15,1345,1715,"True",False
"https://www.instagram.com/_ingrid_k_","False","_ingrid_k_",75,176,221,"True",False
"https://www.instagram.com/_saracinoo","False","_saracinoo",5,580,158,"True",False
"https://www.instagram.com/179cmandup","False","179cmandup",329,4182,4265,"True",False
"https://www.instagram.com/9polkadots","False","9polkadots",58,464,181,"True",False
"https://www.instagram.com/aguamaniloficial","False","aguamaniloficial",136,2940,17876,"True",False
"https://www.instagram.com/ahmed_adan_mohamuud","False","ahmed_adan_mohamuud",12,2551,706,"True",False
"https://www.instagram.com/alanabalacco","False","alanabalacco",120,353,5604,"True",False
"https://www.instagram.com/alexandra999999","False","alexandra999999",0,129,7,"True",False
"https://www.instagram.com/anan_anan0312","False","anan_anan0312",8,124,98,"True",False
"https://www.instagram.com/andiarunakbar","False","andiarunakbar",154,1112,1073,"True",False
"https://www.instagram.com/anita.b.photography","False","anita.b.photography",364,7500,4754,"True",False
"https://www.instagram.com/anna.bagashvili","False","anna.bagashvili",208,170,6201,"True",False
"https://www.instagram.com/annasding","False","annasding",39,959,5651,"True",False
"https://www.instagram.com/annika_julie","False","annika_julie",11,649,390,"True",False
"https://www.instagram.com/ar_designofficial","False","ar_designofficial",1480,558,3432,"True",False
"https://www.instagram.com/ashleygoldston","False","ashleygoldston",133,560,3659,"True",False
"https://www.instagram.com/balkia.official","False","balkia.official",23,1484,365,"True",False
"https://www.instagram.com/bebeinteriordesign","False","bebeinteriordesign",453,3993,1129,"True",False
"https://www.instagram.com/besiktas_fashion","False","besiktas_fashion",135,585,137,"True",False
